               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05333,            0.016166,                   0,             0.99189,             0.99022,             0.99448,              0.6124,            0.034375,            0.007194,                   0,            0.070048,            0.003328,            0.003328
                   1,            0.035119,           0.0080514,                   0,              0.9978,             0.99628,             0.99499,             0.62996,            0.024386,            0.005407,                   0,            0.040026,           0.0066394,           0.0066394
                   2,            0.031003,           0.0068524,                   0,             0.99846,              0.9988,             0.99498,             0.68053,            0.022483,           0.0048392,                   0,           0.0099819,           0.0099287,           0.0099287
                   3,            0.026221,           0.0061583,                   0,             0.99651,             0.99854,             0.99467,             0.71784,            0.020038,           0.0045032,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.023652,           0.0056627,                   0,               0.999,             0.99947,             0.99496,             0.72217,              0.0192,            0.004371,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.022839,           0.0056366,                   0,             0.99919,              0.9992,             0.99496,             0.72156,            0.019467,            0.004318,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.022185,           0.0055003,                   0,             0.99989,              0.9996,               0.995,             0.73165,            0.018692,           0.0042497,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.021939,           0.0054351,                   0,             0.99955,              0.9998,             0.99498,              0.7361,            0.018506,           0.0041988,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.021538,           0.0053815,                   0,             0.99965,              0.9997,               0.995,             0.74047,            0.018242,           0.0041305,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.021354,           0.0053517,                   0,              0.9994,             0.99963,               0.995,             0.73582,            0.018333,           0.0041625,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.021307,           0.0052933,                   0,             0.99974,                   1,               0.995,              0.7421,            0.018061,            0.004143,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.021025,           0.0053475,                   0,             0.99899,              0.9998,               0.995,             0.74138,            0.018101,           0.0041338,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.020981,           0.0053004,                   0,             0.99946,              0.9998,             0.99498,             0.74136,            0.018035,           0.0041201,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.020808,           0.0052293,                   0,              0.9994,             0.99993,             0.99499,             0.74054,             0.01823,           0.0041207,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.020824,           0.0052187,                   0,              0.9994,             0.99991,             0.99499,             0.74445,             0.01774,           0.0040935,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.020613,           0.0052228,                   0,              0.9998,             0.99997,               0.995,             0.74338,            0.017844,           0.0041099,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.020568,           0.0052436,                   0,              0.9997,                   1,               0.995,             0.74665,            0.017647,           0.0040866,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.020515,            0.005223,                   0,             0.99996,              0.9999,               0.995,             0.74644,            0.017611,            0.004065,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.020432,           0.0052817,                   0,             0.99987,              0.9999,               0.995,             0.74514,            0.017697,           0.0040665,                   0,            0.009439,            0.009439,            0.009439
